ID de la compétence parente;ID;Nom abrégé;Description;Format de description;Valeurs du barème;configuration du barème;Type de règle de compétence (optionnelle);Règle d'objectif (optionnelle);Règle de paramétrage (optionnelle);IDs des compétences croisées associées;ID d'exportation (optionnel);Est un référentiel;Taxonomie
;dcg-2019;DCG réforme 2019;"<p>Mise en forme par François Parlant à partir du Bulletin officiel n°25 du 20-06-2019.</p> <p>VERSION <b>0.4</b> du 24/01/2021</p> <p>Le détail de la conversion et les mises à jours sont disponibles sur: <a href=""https://github.com/fxpar/dcg-ue8/tree/main/referentiels"">https://github.com/fxpar/dcg-ue8/tree/main/referentiels</a></p>";1;Not yet competent,Competent;"[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]";;;;;;1;domain,domain,domain,domain,domain,competency
;1.0.0.0.0.0;AXE 1 : DROIT DES AFFAIRES ;"<p>Les unités d’enseignement (UE) des « fondamentaux du droit » (UE 1), de « droit des sociétés et des groupements d’affaire » (UE 2), de « droit social » (UE 3) et de « droit fiscal » (UE 4) ont pour objet de fournir au titulaire du DCG une connaissance juridique du fonctionnement des organisations. </p>
<p>Ces unités d’enseignement devront, notamment, permettre le développement de compétences spécifiques :  </p>";1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.1;Identifier et hiérarchiser les sources juridiques;;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.2;Rechercher et analyser une documentation juridique fiable et actualisée;;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.3;Analyser une décision de justice et en dégager la portée;;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.4;Qualifier et analyser un contrat ou un document professionnel;;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.5;Qualifier les faits, articuler un raisonnement juridique et proposer une solution adaptée, dans le cadre d’une situation juridique donnée;;1;;;;;;;;;
1.0.0.0.0.0;1.1.0.0.0.0;UE 1 - FONDAMENTAUX DU DROIT  ;<p>Niveau L – 150 heures – 14 ECTS </p>;1;;;;;;;;;
1.1.0.0.0.0;1.1.1.0.0.0;1- Introduction générale au droit (45 heures) ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.1.0.0;1.1 Introduction ;<h5>Sens et portée de l’étude</h5><p>La règle de droit est une construction sociale qui évolue en fonction des besoins de la société : à travers elle s’expriment certaines valeurs fondamentales. La règle de droit a pour objet de rendre possible la vie en société. Pour ce faire, elle est aussi un instrument de contrainte. </p><p>La prise en compte des finalités du droit permet de comprendre le sens de la règle, de l’interpréter et éventuellement d’en prévoir l’évolution. </p><p>Le droit distingue, classe et ordonne des situations données. En France, il repose sur une summa divisio qui distingue droit public et droit privé. Le droit se différencie d’autres règles sociales telles que la morale et l’éthique. </p><h5>Savoirs associés</h5><ul><li>* les finalités du droit. </li><li>* les caractères de la règle de droit.  </li><li>* les autres règles sociales : morale et éthique. </li><li>* les branches du droit. </li></ul>;1;;;;;;;;;
1.1.1.1.0.0;1.1.1.1.0.1;Distinguer la règle de droit des autres règles de la vie sociale;;1;;;;;;;;;
1.1.1.1.0.0;1.1.1.1.0.2;Identifier les branches du droit applicables à une situation donnée;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.2.0.0;1.2 Les sources du droit <h5>Sens et portée de l’étude</h5>;"<p>Les sources du droit sont nombreuses. Cette multiplication s’explique par le fait qu’une société développée produit des normes internes à différents niveaux, et s’intègre dans un espace mondialisé qui la soumet à de nouvelles règles définies par des acteurs internationaux. Dès lors, une hiérarchie s’établit entre l’ensemble de ces normes et des voies de recours s’ouvrent aux titulaires de droits en cas de violation de cette hiérarchie. </p><p>À noter que certains textes de droit international non contraignants (soft law) peuvent influer le comportement de sujets de droit, notamment les entreprises. </p><h5>Savoirs associés</h5><ul><li>* les sources internationales du droit ; </li><li>* les différentes sources de droit européen : droit primaire et dérivé du droit de l’union européenne (directives et règlements) ; </li><li>* les sources nationales du droit ; </li><li>* le principe de hiérarchie des normes ; </li><li>* le rôle des pouvoirs législatif et exécutif dans l’initiative d’une loi ordinaire ; </li><li>* les prérogatives du pouvoir exécutif dans le processus du vote de la loi ; </li><li>* le contrôle de conventionalité et de constitutionnalité de la loi. </li></ul>";1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.1;Identifier et distinguer les différentes sources du droit;;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.2;Repérer un conflit de normes et expliciter sa résolution dans une situation donné;;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.3;"Différencier les principales catégories de loi ;  - schématiser les étapes du processus de l’élaboration d’une loi ordinaire";;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.4;Identifier les contrôles de constitutionnalité d’une loi;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.3.0.0;1.3 La preuve des droits <h5>Sens et portée de l’étude</h5>;"<p>Être titulaire de droits suppose d’en établir l’existence devant un juge. En amont du procès, la preuve a un rôle de prévention (la partie qui sait que le juge lui donnera tort, s’abstiendra de recourir aux tribunaux) et lors du procès, elle permettra de trancher le litige en dégageant une vérité judiciaire. </p><p>Le droit français consacre le système de la preuve par tout moyen sauf si la loi en dispose autrement : ainsi, dans certains cas, la preuve préconstituée est exigée. Par ailleurs, le progrès technique impose au législateur et au juge d’apprécier la fiabilité de nouveaux procédés de preuve. </p><h5>Savoirs associés</h5><ul><li>* l’objet, la charge et les modes de preuve ; </li><li>* la recevabilité des moyens de preuve et leur force probante. </li></ul>";1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.1;Établir sur qui pèse la charge de la preuve;;1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.2;Identifier les moyens de preuve;;1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.3;Apprécier la recevabilité et la force probante des moyens de preuve;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.4.0.0;1.4 L’organisation judiciaire <h5>Sens et portée de l’étude</h5>;"<p>Pour faire reconnaître ses droits ou faire cesser un trouble, le citoyen s’adresse aux juridictions. Celles-ci, très nombreuses, répondent à une organisation et un fonctionnement précis qui vont définir leur compétence. En leur sein, il existe différents professionnels qui concourent à la résolution des litiges. Enfin, les procédures doivent garantir le respect de principes directeurs du procès issus du droit national et du droit européen. </p><h5>Savoirs associés</h5><ul><li>* les ordres administratif et judiciaire ; </li><li>* les principales juridictions nationales et européennes. </li><li>* les degrés de juridictions ; </li><li>* la compétence matérielle et territoriale d’une juridiction ; </li><li>* les conditions de recevabilité de l’action en justice ; - les notions de prescription et de forclusion ; </li><li>* les voies de recours possibles en fonction d’une décision de justice ; </li><li>* les principes directeurs du droit commun du procès français et européen ; - le personnel de justice. </li></ul>";1;;;;;;;;;
